time(s),C_Active,L_Active,itp_Po,itp_Temp,itp_HR,itp_RR,itp_HRV
2358.9318,0.0016867045,0.0012064243,-27.509228,0.0027094839,140.14582,63.695397,0.010463411
2359.0318,0.0016622522,0.0012571377,-27.503194,0.0027246885,140.16744,63.773666,0.010421108
2359.1318,0.0016377998,0.0013078511,-27.49716,0.0027398931,140.18906,63.851936,0.010383725
2359.2318,0.0016181229,0.0013585645,-27.491722,0.0027550977,140.21068,63.930206,0.010367902
2359.3318,0.0016011271,0.0014092778,-27.48791,0.0027703022,140.2323,64.008476,0.010352079
2359.4318,0.0015841312,0.0014599912,-27.484098,0.0027855068,140.25251,64.086746,0.010336256
2359.5318,0.0015671354,0.0015107046,-27.480286,0.0028007114,140.27198,64.165016,0.010320432
2359.6318,0.0015501396,0.001561418,-27.476474,0.002815916,140.29145,64.243285,0.010320262
2359.7318,0.0015331438,0.001558768,-27.47209,0.0028311206,140.31092,64.306343,0.010320262
2359.8318,0.001516148,0.0015410426,-27.466137,0.0028463252,140.34025,64.362297,0.010320262
2359.9318,0.0014991521,0.0015233173,-27.460183,0.0028615298,140.3928,64.418251,0.010320262
2360.0318,0.0014821563,0.001505592,-27.45423,0.0028767344,140.44536,64.474205,0.010320262
2360.1318,0.0014651605,0.0014878666,-27.448276,0.002891939,140.49792,64.530159,0.010320262
2360.2318,0.0015266593,0.0014701413,-27.443383,0.0029071436,140.55047,64.586113,0.010320262
2360.3318,0.0015924524,0.001452416,-27.44141,0.0029223482,140.47716,64.642067,0.010320262
2360.4318,0.0016582454,0.0014346907,-27.439438,0.0029375528,140.39743,64.69802,0.010295809
2360.5318,0.0017240384,0.0014169653,-27.437465,0.0029527574,140.3177,64.753974,0.010255057
2360.6318,0.0017898314,0.0013901354,-27.435492,0.0029679619,140.23798,64.809928,0.010214305
2360.7318,0.0018556244,0.001342904,-27.432303,0.0029831665,140.25403,64.865882,0.010173553
2360.8318,0.0019214174,0.0012956726,-27.425744,0.0029983711,140.33417,64.921836,0.010145115
2360.9318,0.0019872105,0.0012484412,-27.419184,0.0030135757,140.41431,64.938495,0.010134823
2361.0318,0.0020530035,0.0012012098,-27.412625,0.0030287803,140.49445,64.945628,0.010124531
2361.1318,0.0020946991,0.0011539784,-27.406066,0.0030439849,140.5673,64.952762,0.010114238
2361.2318,0.0020673044,0.001106747,-27.399506,0.0030591895,140.62037,64.959895,0.010108817
2361.3318,0.0020399097,0.0010595156,-27.392945,0.0030743941,140.67345,64.967029,0.010122041
2361.4318,0.002012515,0.0010122842,-27.386384,0.0030979909,140.72652,64.974162,0.010135264
2361.5318,0.0019851203,0.00096505275,-27.379823,0.0031413719,140.77959,64.981296,0.010148487
2361.6318,0.0019577256,0.00098028993,-27.373262,0.0031847529,140.82846,64.988429,0.01016165
2361.7318,0.001930331,0.0010075549,-27.367426,0.0032281339,140.87711,64.995563,0.010168508
2361.8318,0.0019029363,0.0010348199,-27.363621,0.0032715149,140.92577,65.002697,0.010175366
2361.9318,0.0018755416,0.0010620849,-27.359815,0.0033148959,140.97442,65.00983,0.010182224
2362.0318,0.0018481469,0.0010893499,-27.35601,0.0033582769,141.02466,65.016964,0.010189082
2362.1318,0.0018221336,0.0011166148,-27.352204,0.0034016579,141.07575,64.970775,0.010221899
2362.2318,0.0017971772,0.0011438798,-27.349059,0.0034450389,141.12685,64.92072,0.010260748
2362.3318,0.0017722208,0.0011711448,-27.347773,0.0034884199,141.17795,64.870665,0.010299598
2362.4318,0.0017472645,0.0011984098,-27.346486,0.0035318009,141.21908,64.82061,0.010338448
2362.5318,0.0017223081,0.0012166637,-27.345199,0.0035751819,141.24148,64.770556,0.010353517
2362.6318,0.0016973517,0.001219477,-27.343912,0.0036185629,141.26388,64.720501,0.010353517
2362.7318,0.0016723954,0.0012222903,-27.342961,0.0036619439,141.28629,64.670446,0.010353517
2362.8318,0.001647439,0.0012251036,-27.342961,0.0037053249,141.30768,64.620391,0.010353517
2362.9318,0.0016224826,0.0012279169,-27.342961,0.0037487059,141.31274,64.570336,0.010363112
2363.0318,0.0015975263,0.0012307301,-27.342961,0.0037920869,141.3178,64.520281,0.010386432
2363.1318,0.0015414302,0.0012335434,-27.342961,0.0038354679,141.32285,64.470227,0.010409753
2363.2318,0.0014808746,0.0012363567,-27.343908,0.0038788489,141.32791,64.423531,0.010433074
2363.3318,0.0014203189,0.00123917,-27.347541,0.0039222299,141.34088,64.489493,0.010451525
2363.4318,0.0013597633,0.0012419833,-27.351175,0.0039656109,141.35609,64.555454,0.010451525
2363.5318,0.0012992077,0.0012544743,-27.354809,0.0040089919,141.37129,64.621415,0.010451525
2363.6318,0.001238652,0.0012680584,-27.358442,0.0040523729,141.3865,64.687376,0.010451525
2363.7318,0.0011780964,0.0012816426,-27.361085,0.0040957539,141.44549,64.753338,0.010451552
2363.8318,0.0011175408,0.0012952268,-27.3609,0.0041391349,141.54664,64.819299,0.010457674
2363.9318,0.0010569851,0.0013088109,-27.360716,0.0041825159,141.64779,64.88526,0.010463797
2364.0318,0.0010020294,0.0013223951,-27.360531,0.0042258969,141.74894,64.951222,0.01046992
2364.1318,0.00097201453,0.0013359793,-27.360346,0.0042692779,141.82462,65.017183,0.010476042
2364.2318,0.0009419997,0.0013495634,-27.359833,0.0043126589,141.82462,65.083144,0.010477282
2364.3318,0.00091198486,0.0013631476,-27.358377,0.0043560399,141.82462,65.149105,0.010477282
